39,4,4,4,"6B","S-W","D","62",,0,6.40000,,,,"20250904","20260708",0.02560,,,"62",,,,"Bn",,,,2,2,,,,,0,0,,,,,400000,4.00000,"D_6B_S-W",,,,0,
40,4,4,4,"6B","Rei","E","12",,0,5.80000,,,,"20250904","20260708",0.02320,,,"12",,,,"Bn",,,,2,2,,,,,0,0,,,,,400000,4.00000,"E_6B_Rei",,,,0,
41,4,4,4,"6B","Hoe","Ma","63",,0,5.80000,,,,"20250904","20260708",0.02320,,,"63",,,,"Bn",,,,2,2,,,,,0,0,,,,,400000,4.00000,"Ma_6B_Hoe",,,,0,
42,2,2,2,"6B","Bar","NaWi","Bio1",,0,2.80000,,,,"20250904","20260708",0.01120,,,"Bio1",,,,"Bn",,,,1,1,,,,,0,0,,,,,200000,2.00000,"NaWi_6B_Bar",,,,0,
43,2,2,2,"6B","Vol","BK","Z1",,0,2.60000,,,,"20250904","20260708",0.01040,,,"Z1",,,,"Bn",,,,1,1,,,,,0,0,,,,,200000,2.00000,"BK_6B_Vol",,,,0,
44,2,2,2,"6B","Schle","Mus","Mus2",,0,2.80000,,,,"20250904","20260708",0.01120,,,"Mus2",,,,"Bn",,,,1,1,,,,,0,0,,,,,200000,2.00000,"Mus_6B_Freu",,,,0,
45,3,3,3,"6B","Ros","Spo","NH2",,0,3.75000,,,,"20250904","20260708",0.01480,,,"NH2",,,,"Bn",,,,1,2,,,,,0,0,,,,,300000,3.00000,"Spo_6B_Ros",,,,0,
46,2,2,2,"6B","Rei","Rel","12",,0,2.60000,,,,"20250904","20260708",0.01040,,,"12",,,,"Bn",,,,1,1,,,,,0,0,,,,,200000,2.00000,"Rel_6B_Rei",,,,0,
47,4,4,4,"6C","Deg","Ma","13",,0,5.80000,,,,"20250904","20260708",0.02320,,,"13",,,,"Bn",,,,2,2,,,,,0,0,,,,,400000,4.00000,"Ma_6C_Deg",,,,0,
48,4,4,4,"6C","Thom","E","42",,0,5.80000,,,,"20250904","20260708",0.02320,,,"42",,,,"Bn",,,,2,2,,,,,0,0,,,,,400000,4.00000,"E_6C_Det",,,,0,
49,4,4,4,"6C","Flo","D","Aula~13",,0,6.40000,,,,"20250904","20260708",0.02560,,,,,,,"Bn",,,,2,2,,,,,0,0,,,,,400000,4.00000,"D_6C_Flo",,,,0,
50,3,3,3,"6C","Deg","Spo","AH",,0,3.75000,,,,"20250904","20260708",0.01480,,,"AH",,,,"Bn",,,,1,2,,,,,0,0,,,,,300000,3.00000,"Spo_6C_Deg",,,,0,
51,2,2,2,"6C","Freu","Mus","Mus2",,0,2.80000,,,,"20250904","20260708",0.01120,,,"Mus2",,,,"Bn",,,,1,1,,,,,0,0,,,,,200000,2.00000,"Mus_6C_Freu",,,,0,
52,2,2,2,"6C","Freu","Rel","11",,0,2.60000,,,,"20250904","20260708",0.01040,,,"11",,,,"Bn",,,,1,1,,,,,0,0,,,,,200000,2.00000,"Rel_6C_Freu",,,,0,
53,2,2,2,"6C","Bal","Ge","56",,0,2.80000,,,,"20250904","20260708",0.01120,,,"56",,,,"Bn",,,,1,1,,,,,0,0,,,,,200000,2.00000,"Ge_6C_Bal",,,,0,
54,2,2,2,"6C","Pam","NaWi","Bio1",,0,2.80000,,,,"20250904","20260708",0.01120,,,"Bio1",,,,"Bn",,,,1,1,,,,,0,0,,,,,200000,2.00000,"NaWi_6C_Pam",,,,0,
